id,name,lat_new,long_new,located in,the_geom,cartodb_id,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat_old,long_old,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems
G339,reb gong khyung dgon/,,,reb gong /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1699,rdo rting dgon/; 多登寺,31.20633,94.19508,Biru county; 'bri ru rdzong /; 比如县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1462,加里寺; rgya ri dgon/,28.78735,92.09557,chu gsum rdzong /; Chusum county; 曲松县,0101000020E6100000A31EA2D11D0657406F8104C58FC93C40,1683.0,1462.0,,,Gyari,邱多江乡,Qiuduojiang xiang,Qiu Duo Jiang Xiang,542226.0,曲松县,Qusong Xian,5422.0,Shannan Diqu,Xizang,U_gonpa_Lex_20120622,28.78735,92.09557,542226200.0,542226105.0,rgya ri dgon,542226200.0,542226105.0,rgya ri dgon,rgya ri dgon,Chusum,G2137,chu gsum rdzong,G1KR1462,,,,Gyari,加里寺,,na,1350,Kagyu,3.316529583,3.317,1550,Gelug,x,x,,
G1060,shangs 'bras spungs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2921,kha shul dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G314,dan tig dgon/; 丹笛寺,35.88778,102.5,kha ba drug gi dgon pa/; 化隆回族自治县; ba yan rdzong /,0101000020E61000000000000000A059407D0569C6A2F14140,2162.0,2260.0,,丹斗寺,dandou si,甘都镇,Gandu zhen,Gan Du Zhen,632127.0,化隆回族自治县,Hualong Hui Zizhixian,6321.0,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,35.88778,102.5,632127102.0,6.0,dan tig shel gyi yang dgon,632127102.0,197.0,dan tig shel gyi yang dgon,,na,G1PD96109,ba yan rdzong,G314,,dan tig dgon,,Dantik,丹斗寺,丹笛寺,dandou si,911,no-sect,21.49228069,21.492,1600,g,,,,
G3366,gzhong pa lha chu dgon/; 雄巴拉曲寺,29.64005,90.93258,stod lung bde chen rdzong /; Tolung Dechen County; 堆龙德庆县; se ma grong tsho (stod lung bde chen rdzong),0101000020E6100000D5390664AFBB564008CE1951DAA33D40,2103.0,939.0,,,Zhongpa Lhachu,羊达乡,Yangda xiang,Yang Da Xiang,540125.0,堆龙德庆县,Duilongdeqing Xian,5401.0,Lhasa Shi,Xizang,U_gonpa_Lex_20120622,29.64005,90.93258,540125203.0,540125107.0,gzhong pa lha chu,540125203.0,540125107.0,gzhong pa lha chu,,Tolung Dechen,G1325,stod lung bde chen rdzong,G3366,,,,Zhongpa Lhachu,雄巴拉曲,雄巴拉曲寺,na,750,non-sect,17.98431768,17.984,x,x,x,x,,
G8LS12773,nyi ma lung dgon/,,,bum thang /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1PD108531,khang dmar dgon/,,,马尔康县; Barkham County; 'bar khams rdzong /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2068,a mchog sngags grwa/; 阿木去乎密宗院,34.80689,102.71378,bsang chu rdzong /; 夏河县,0101000020E61000007D224F92AEAD594017BCE82B48674140,1134.0,2068.0,,,Amu Quhu Mizongyuan,阿木去乎乡,Amuquhu xiang,A Mu Qu Hu Xiang,623027.0,夏河县,Xiahe Xian,6230.0,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.80689,102.71378,623027211.0,623027118.0,a mchog sngags grwa gsang sngags dar rgyas gling,623027211.0,623027118.0,a mchog sngags grwa gsang sngags dar rgyas gling,a mchog sngags grwa gsang sngags dar rgyas gling,bsang chu,G2396,bsang chu rdzong,G1KR2068,,,,,阿木去乎密宗院,,Amu Quhu Mizongyuan,1900,Gelug,6.98031551,6.98,,,,,,
G1KR2288,zhang lis ho'u la zi/; 香力胡拉寺,36.13637,102.20786,化隆回族自治县; ba yan rdzong /,0101000020E6100000618907944D8D5940E813799274114240,1899.0,2288.0,,香力胡拉寺,xianglihula si,二塘乡,Ertang xiang,Er Tang Xiang,632127.0,化隆回族自治县,Hualong Hui Zizhixian,6321.0,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,36.13637,102.20786,632127208.0,211.0,zhang lis ho'u la zi,632127208.0,229.0,zhang lis ho'u la zi,zhang lis ho'u la zi,na,G1PD96109,ba yan rdzong,G1KR2288,,,,,香力胡拉寺,,xianglihula si,1701,n,34.86345148,34.863,,,,,,
G2586,代巴寺; dad pa dgon/,32.67677,96.61373,yul shul rdzong /; 玉树县,0101000020E6100000BEA4315A47275840FB743C66A0564040,2064.0,2718.0,,代巴寺,daiba si,下拉秀乡,Xialaxiu xiang,Xia La Xiu Xiang,632721.0,玉树县,Yushu Xian,6327.0,Yushu Zizhizhou,Qinghai,Yu_gonpa_Lex_20120622,32.67677,96.61373,632721204.0,21.0,dad pa dgon pa,632721204.0,21.0,dad pa dgon pa,,na,G2326,yul shul rdzong,G2586,,,,,代巴寺,,daiba si,1570,Nendo,3.75716209,3.757,,,,,,
G1KR619,格嘎寺; dge 'gab dgon/,33.23333,98.06667,ser shul rdzong /; Seshul county; 石渠县,0101000020E6100000F5673F52448458407D96E7C1DD9D4040,2561.0,618.0,,,ge gong si,格孟乡,Gemeng xiang,Ge Meng Xiang,513332.0,石渠县,Shiqu Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,33.23333,98.06667,513332208.0,370.0,dage goang dagon,513332208.0,370.0,dage goang dagon,,Seshul,G2301,ser shul rdzong,G1KR619,,dge gong dgon pa,,na,格贡寺,,ge gong si,1625,rnying ma/,4.848876677,4.849,,,,,,
G1KR2610,mkhar sdon sgar kha/; 归化寺,35.8828,101.0082,贵南县; mang ra rdzong /,0101000020E6100000F1F44A598640594054742497FFF04140,944.0,2610.0,,归化寺,guihua si,过马营乡,Guomaying xiang,Guo Ma Ying Xiang,632525.0,贵南县,Guinan Xian,6325.0,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.8828,101.0082,632525204.0,499.0,mkhar sdon sgar kha,632525204.0,378.0,mkhar sdon sgar kha,mkhar sdon sgar kha,na,G1812,mang ra rdzong,G1KR2610,,,,,归化寺,桂花寺/垮安寺,guihua si,1945,g,3.967912812,3.968,,,,,,
G1KR1739,贡欧寺,31.65,94.3,Sok county; sog rdzong /; 索县,0101000020E610000032333333339357406566666666A63F40,1420.0,1739.0,,贡寺,Gong si,嘎美乡,Gamei xiang,Ga Mei Xiang,542427.0,索县,Suo Xian,5424.0,Nagqu Diqu,Xizang,Kham_Lex_20120621,31.65,94.3,542427209.0,451.0,,542427209.0,451.0,na,,Suo,G2149,sog rdzong,G1KR1739,,,,na,贡欧寺,贡寺/扎西巴丹贡寺,Gong si,na,Geluk,6.465656587,6.466,na,na,na,na,na,
G1KR2024,bye gshong ser sde/; 木西合新寺,34.26186,101.10738,rma chu rdzong /; 玛曲县,0101000020E6100000A60F5D50DF465940B610E4A084214140,1099.0,2024.0,,,Muxihe Xinsi,欧拉秀玛乡,Oulaxiuma xiang,Ou La Xiu Ma Xiang,623025.0,玛曲县,Maqu Xian,6230.0,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.26186,101.10738,623025202.0,623025103.0,bye gshong dge ldan bshad sgrub gling,623025202.0,623025103.0,bye gshong dge ldan bshad sgrub gling,bye gshong dge ldan bshad sgrub gling,rma chu,G2202,rma chu rdzong,G1KR2024,,,,,木西合新寺,雪相赛德寺,Muxihe Xinsi,1850,Gelug,1.163765013,1.164,,,,,,
G1723,dbang mda' dgon/; Wangda Gon Tubten Chokorling,,,mdo gong ma zhang /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1083,乐曲寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000000000000009058405F9335EA21E23E40,2200.0,1083.0,,乐曲寺,Lequ si,莫洛乡,Moluo xiang,Mo Luo Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.25,542123200.0,297.0,,542123200.0,297.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1083,,,,na,乐曲寺,,Lequ si,na,Nyingma,12.70648031,12.706,na,na,na,na,na,
G1KR141,bde chen dgon/; 斯跃武寺,31.75374,101.42146,'dzam thang rdzong /; 壤塘县,0101000020E61000009E245D33F95A5940E2AFC91AF5C03F40,1856.0,141.0,,斯跃武寺,Si wo wu si,蒲西乡,Puxi xiang,Pu Xi Xiang,513230.0,壤塘县,Rangtang Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,31.75374,101.42146,513230200.0,120.0,Bde chen dgon (sro yo dgon),513230200.0,120.0,Bde chen dgon (sro yo dgon),bde chen dgon (sro yo dgon),Dzam thang rdzong,G2336,dzam thang rdzong,G1KR141,,,,,斯跃武寺,,Si wo wu si,1460,N,7.357178767,7.357,,,,,,
G2922,seng+ge gnam rdzong /,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR328,黑金寺; a dur dgon/,29.83333,101.11667,nyag chu rdzong /; 雅江县; Nyakchu county,0101000020E6100000289B72857787584093C6681D55D53D40,1286.0,1276.0,,拉日寺,Lari si,加卡乡,Jiaka xiang,Jia Ka Xiang,542128.0,左贡县,Zuogong Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,29.83333,98.11667,542128207.0,122.0,,542128207.0,122.0,na,,Zuogong,G2180,mdzo sgang rdzong,G1KR328,,,,na,拉日寺,左贡县拉日寺,Lari si,na,Geluk,1.432685282,1.433,na,na,na,na,na,
G1KR1879,白玛卫林寺,29.76667,95.31667,Metok county; me tog rdzong /; 墨脱县,0101000020E6100000D8648D7A8818594006D3307C44C43D40,414.0,691.0,,,e ri si,甲洼乡,Jiawa xiang,Jia Wa Xiang,513334.0,理塘县,Litang Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,29.76667,100.38333,513334217.0,277.0,gu ru dagon,513334217.0,277.0,gu ru dagon,gu ru dgon,Litang,G2304,li thang rdzong,G1KR1879,,,,na,俄日寺,,e ri si,1400,dge lugs/,7.497188554,7.497,,,,,,
G1724,tsha skor dgon pa/,,,mtsho nag zhang /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1857,stong che rgya thang lha khang /,,,khri ka rdzong /; 贵德县; 同仁县; Rebkong County; reb gong rdzong /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4048,bkra shis chos gling dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1738,琼扩寺,31.65,94.3,Sok county; sog rdzong /; 索县,0101000020E610000032333333339357406566666666A63F40,1419.0,1738.0,,琼科寺,Qiongke si,嘎美乡,Gamei xiang,Ga Mei Xiang,542427.0,索县,Suo Xian,5424.0,Nagqu Diqu,Xizang,Kham_Lex_20120621,31.65,94.3,542427209.0,450.0,,542427209.0,450.0,na,,Suo,G2149,sog rdzong,G1KR1738,,,,na,琼扩寺,,Qiongke si,na,Geluk,6.465656587,6.466,na,na,na,na,na,
G1KR1179,查仲德钦绕吉林寺; bde chen rab rgyas gling /,31.6,95.08334,steng chen rdzong /; Tengchen County; 丁青县,0101000020E6100000B79C4B7155C557409999999999993F40,175.0,1178.0,,达吉寺,Daji si,尺牍乡,Chidu xiang,Chi Du Xiang,542125.0,丁青县,Dingqing Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.6,95.08334,542125206.0,247.0,,542125206.0,248.0,na,,Dingqing,G2188,steng chen rdzong,G1KR1179,,,,na,日玛噶桑林寺,,Rimaga sanglinsi,na,Bon,4.846781131,4.847,na,na,na,na,na,
G75,'on nges gsang dar rgyas gling /,,,sne gdong rdzong /; Nedong County; 乃东县; 'on/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KG17132,khams rdor brag dgon/,,,sde dge rdzong /; 德格县; Derge County; lhun grub rdzong /; 林周县; Lhundrub county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1802,果芒寺; Gomang Gon; sgo mang dgon/,32.76,100.8,班玛县; pad+ma rdzong /; Pema county; yar thang zhang /,0101000020E61000003233333333335940E17A14AE47614040,2002.0,2638.0,,吾扎寺,wuzha si,亚尔堂乡,Yaertang xiang,Ya Er Tang Xiang,632622.0,班玛县,Banma Xian,6326.0,Golog Zizhizhou,Qinghai,Qinghai_Lex_20120621,32.76,100.8,632622207.0,385.0,bu rtsa dgon pa,632622207.0,506.0,bu rtsa dgon pa,bu rtsa dgon pa,na,G1719,pad+ma rdzong,G1802,,,,,吾扎寺,,wuzha si,1887,n,11.56136193,11.561,,,,,,
G1KR1082,羊寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000000000000009058405F9335EA21E23E40,2197.0,1080.0,,达登寺,Dadeng si,莫洛乡,Moluo xiang,Mo Luo Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.25,542123200.0,294.0,,542123200.0,294.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1082,,,,na,达登寺,,Dadeng si,na,Nyingma,12.70648031,12.706,na,na,na,na,na,
G511,sba mo chos sdings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2579,仍果俄康; rdzong 'go'i sngags khang /,36.10997,101.28885,khri ka rdzong /; 贵德县,0101000020E6100000C6DCB5847C52594043C5387F130E4240,1978.0,2579.0,,仍果俄康,rengguo ekang,罗汉堂乡,Luohantang xiang,Luo Han Tang Xiang,632523.0,贵德县,Guide Xian,6325.0,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,36.10997,101.28885,632523205.0,613.0,rdzong 'go'i sngags khang,632523205.0,358.0,rdzong 'go'i sngags khang,rdzong 'go'i sngags khang,na,G1715,khri ka rdzong,G1KR2579,,,,,仍果俄康,,rengguo ekang,na,n,12.78499893,12.785,,,,,,
G1KR2638,bu rtsa dgon pa/; 吾扎寺,32.76,100.8,班玛县; pad+ma rdzong /; Pema county,0101000020E61000003233333333335940E17A14AE47614040,2003.0,2639.0,,果芒寺,guomang si,亚尔堂乡,Yaertang xiang,Ya Er Tang Xiang,632622.0,班玛县,Banma Xian,6326.0,Golog Zizhizhou,Qinghai,Qinghai_Lex_20120621,32.76,100.8,632622207.0,323.0,sgo mang dgon pa,632622207.0,507.0,sgo mang dgon pa,,na,G1719,pad+ma rdzong,G1KR2638,,sgo mang dgon ( pad+ma rdzong),,,果芒寺,哇依寺/白玉寺,guomang si,1816,n,11.56136193,11.561,,,,,,
G777,a mo ri mo/,,,spungs thang bde ba can/; punakha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4492,郎依寺; sna steng dgon/,32.8135,103.64088,zung chu rdzong /; 松潘县; shar khog,0101000020E6100000452A8C2D04E95940E3A59BC420684040,8.0,15.0,,朗依寺 (对河寺）,Lang yi si - Dui he si,水晶乡,Shuijing xiang,Shui Jing Xiang,513224.0,松潘县,Songpan Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,32.8135,103.64088,513224216.0,238.0,snang zhig lcags mdud dgon (Dpal gshen bstan snang zhig rnam rgyal kun gragas gling),513224216.0,238.0,snang zhig lcags mdud dgon (Dpal gshen bstan snang zhig rnam rgyal kun gragas gling),,zung chu rdzong,G2333,zung chu rdzong,G4492,,sna steng dgon (zung chu rdzong),,,郎依寺,对河寺,Lang yi si / Dui he si,1378,B,7.569163229,7.569,,,,,,
G1597,nor khog dgon pa/; 洛古寺,30.65,100.26667,nyag rong rdzong /; 新龙县; Nyakrong county,0101000020E6100000C2340C1F111159406766666666A63E40,2505.0,488.0,,,luo gu si,洛古乡,Luogu xiang,Luo Gu Xiang,513329.0,新龙县,Xinlong Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,30.65,100.26667,513329211.0,218.0,nor khog dgon,513329211.0,218.0,nor khog dgon/,,Xinlong,G1246,nyag rong rdzong,G1597,,,,na,洛古寺,,luo gu si,na,rnying ma/,3.324136556,3.324,,,,,,
G3814,rgya shod dgon/,,,dpal yul rdzong /; Palyul county; 白玉县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G208,phug chung dgon pa/; Pugchung Gonpa Mishi Dorje Dzong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3948,rma mgrin dgon/,,,ser shul rdzong /; Seshul county; 石渠县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3920,mtha' dmar dgon/; 塘麻寺,30.5,100.1,li thang rdzong /; 理塘县; Litang county,0101000020E61000006666666666065940FFFFFFFFFF7F3E40,2604.0,676.0,,,tang ma si,亚火乡,Yahuo xiang,Ya Huo Xiang,513334.0,理塘县,Litang Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,30.5,100.1,513334204.0,264.0,mtha' damr dagon,513334204.0,264.0,mtha' damr dagon,,Litang,G2304,li thang rdzong,G3920,,mtha' dmar dgon,,na,塘麻寺,,tang ma si,na,rnying ma/,30.88135384,30.881,,,,,,
G1KR994,泽尼寺,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county,0101000020E6100000D8648D7A88485840D29FFD4811913F40,2741.0,997.0,,车寺,Che si,柴堆乡,Chaidui xiang,Chai Dui Xiang,542121.0,昌都县,Changdu Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.56667,97.13333,542121206.0,14.0,,542121206.0,14.0,na,,Chamdo,G2185,chab mdo rdzong,G1KR994,,,,na,车寺,,Che si,na,Sakya,7.201290471,7.201,na,na,na,na,na,
G1KR150,grub 'dzar dgon/; 周扎寺,31.79796,101.07826,'dzam thang rdzong /; 壤塘县,0101000020E610000070253B36024559402384471B47CC3F40,1864.0,150.0,,周扎寺,Zhou zha si,宗科乡,Zongke xiang,Zong Ke Xiang,513230.0,壤塘县,Rangtang Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,31.79796,101.07826,513230201.0,104.0,Grub 'dzar dgon (Gsang chen gter mdzod gling),513230201.0,104.0,Grub 'dzar dgon (Gsang chen gter mdzod gling),grub 'dzar dgon (gsang chen gter mdzod gling),Dzam thang rdzong,G2336,dzam thang rdzong,G1KR150,,,,,周扎寺,,Zhou zha si,1505,N,12.19095918,12.191,,,,,,
G72,'ba' tsag dgon/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G507,dga' ldan theg chen gling /; Gandantegchenlin khiid,47.92,106.88,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1280,夏拉寺,29.41667,97.75,左贡县; Zogang County; mdzo sgang rdzong /,0101000020E610000000000000007058406E3997E2AA6A3D40,190.0,1280.0,,仙拉寺,Xianla si,下林卡乡,Xialinka xiang,Xia Lin Ka Xiang,542128.0,左贡县,Zuogong Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,29.41667,97.75,542128209.0,140.0,,542128209.0,140.0,na,,Zuogong,G2180,mdzo sgang rdzong,G1KR1280,,,,na,夏拉寺,,Xianla si,na,Bon,2.980566705,2.981,na,na,na,na,na,
G1KR1081,索龙寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000000000000009058405F9335EA21E23E40,2195.0,1078.0,,西泊寺,Xipo si,莫洛乡,Moluo xiang,Mo Luo Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.25,542123200.0,292.0,,542123200.0,292.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1081,,,,na,西泊寺,,Xipo si,na,Nyingma,12.70648031,12.706,na,na,na,na,na,
G1854,加卜查寺; Gyabtsa Gon Tengyeling; rgyab tsha dgon/,35.88335,101.50848,khri ka rdzong /; 贵德县,0101000020E6100000E3AAB2EF8A605940F775E09C11F14140,911.0,2558.0,,加卜查寺,jiapucha si,东沟乡,Donggou xiang,Dong Gou Xiang,632523.0,贵德县,Guide Xian,6325.0,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.88335,101.50848,632523202.0,296.0,rgyab tsha grwa tshang,632523202.0,331.0,rgyab tsha grwa tshang,,na,G1715,khri ka rdzong,G1854,,rgyab tsha dgon bstan rgyas gling,,,加卜查寺,,jiapucha si,1780,g,39.15877732,39.159,,,,,,
G1912,托勒寺; tho le dgon/,35.92132,100.66474,贵南县; mang ra rdzong /,0101000020E6100000F415A4198B2A59404B9352D0EDF54140,950.0,2619.0,,托勒寺,tuole si,贵南牧场虚拟乡,Guinanmuchang xuni xiang,Gui Nan Mu Chang Xu Ni Xiang,632525.0,贵南县,Guinan Xian,6325.0,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.92132,100.66474,632525500.0,424.0,tho le'i dgon rnam rgyal phun tshogs chos rdzong,632525500.0,372.0,tho le'i dgon rnam rgyal phun tshogs chos rdzong,,na,G1812,mang ra rdzong,G1912,,tho le dgon rnam rgyal phun tshogs chos rdzong gling,,,托勒寺,驮勒寺/托列寺,tuole si,1916,g,1.658209797,1.658,,,,,,
G2920,rdzong leb dgon/,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3815,brag dmar dbang chen gling dgon/,,,dpal yul rdzong /; Palyul county; 白玉县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4179,dar rgyas gling /,,,yar klungs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1159,巴合寺; sbra ho dgon/,31.22718,95.925599,steng chen rdzong /; Tengchen County; 丁青县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR2917,dga' ldan chos gling lha khang /; 格丹奇林拉康,37.13626,99.15042,天峻县; them chen rdzong /,0101000020E6100000842A357BA0C9584061E0B9F770914240,970.0,2917.0,,葛丹祁林拉康,gedan qilin lakang,天棚乡,Tianpeng xiang,Tian Peng Xiang,632823.0,天峻县,Tianjun Xian,6328.0,Haixi Zizhizhou,Qinghai,Qinghai_Lex_20120621,37.13626,99.15042,632823201.0,544.0,dga' ldan chos gling lha khang,632823201.0,467.0,dga' ldan chos gling lha khang,dga' ldan chos gling lha khang,na,G2380,them chen rdzong,G1KR2917,,,,,格丹奇林拉康,,gedan qilin lakang,1988,g,5.50766943,5.508,,,,,,
G1KR995,跟塘寺; ging thang dgon/,31.56667,97.13333,昌都县; chab mdo rdzong /; Chamdo county,0101000020E6100000D8648D7A88485840D29FFD4811913F40,1197.0,995.0,,根塘寺甘丹协珠班觉林寺,Gentang si gandanxiezhu banjuelin si,柴堆乡,Chaidui xiang,Chai Dui Xiang,542121.0,昌都县,Changdu Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.56667,97.13333,542121206.0,12.0,,542121206.0,12.0,na,,Chamdo,G2185,chab mdo rdzong,G1KR995,,,,na,跟塘寺,,Gentang si gandanxiezhu banjuelin si,na,Geluk,7.201290471,7.201,na,na,na,na,na,
G1DOMM0005,nor bu gling kha/; Norovlin,47.88,106.9,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1080,达登寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000000000000009058405F9335EA21E23E40,2194.0,1077.0,,龙普寺,Longpu si,莫洛乡,Moluo xiang,Mo Luo Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.25,542123200.0,291.0,,542123200.0,291.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1080,,,,na,龙普寺,,Longpu si,na,Nyingma,12.70648031,12.706,na,na,na,na,na,
G3285,rab rgyas dgon/,,,snye mo rdzong /; 尼木县; Nyemo county; gzhu phu shang (snye mo rdzong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR59,？; bde chen thos bsam mgon po gling /,32.05796,102.99941,khro chu rdzong /; 黑水县,0101000020E6100000E7525C55F6BF5940F33CB83B6B074040,1820.0,59.0,,,,芦花镇,Luhua zhen,Lu Hua Zhen,513228.0,黑水县,Heishui Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,32.05796,102.99941,513228100.0,148.0,Bde chen gling gi gsar ma'I dgon (Bde chen thos bsam mgon po gling),513228100.0,148.0,Bde chen gling gi gsar ma'I dgon (Bde chen thos bsam mgon po gling),bde chen gling gi gsar ma'I dgon (bde chen thos bsam mgon po gling),Khro chu rdzong,G2332,Khro chu rdzong,G1KR59,,,,,？,,?,1400,N,5.938359825,5.938,,,,,,
G1KR1112,嘎久寺,30.5,98.9,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E61000009A99999999B95840FFFFFFFFFF7F3E40,2222.0,1111.0,,巴日寺,Bari si,雄松乡,Xiongsong xiang,Xiong Song Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.5,98.9,542123207.0,317.0,,542123207.0,317.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1112,,,,na,巴日寺,,Bari si,na,Nyingma,19.34360694,19.344,na,na,na,na,na,
G2CN10831,gsang sngags chos 'khor gling /; 桑阿曲廓林寺,29.19928,91.54402,grwa nang rdzong /; Dranang county; 扎囊县,0101000020E6100000AD174339D1E2564033BF9A0304333D40,2275.0,1414.0,,,Sangnak Chokorling,扎期乡,Zhaqi xiang,Zha Qi Xiang,542222.0,扎囊县,Zhanang Xian,5422.0,Shannan Diqu,Xizang,U_gonpa_Lex_20120622,29.19928,91.54402,542222200.0,542222120.0,gsang sngags chos 'khor gling,542222200.0,542222120.0,gsang sngags chos 'khor gling,,Dranang,G799,grwa nang rdzong,G2CN10831,,,,Sangnak Chokorling,桑阿曲廓林寺,,na,1450,Nyingma,6.472701382,6.473,x,x,x,x,,
