tol_id,tbrc_id,branch_of,primary_name,wylie_name,tibetan_name,chinese_name,name_variants,traditions,place_types,founded_date,founded_date_approximate,founded_date_alternate,founded_century,existed_by_century,lat,long,description,wikidata_id
109.0,,,Changlung Choding,lcang lung chos sdings,ལྕང་ལུང་ཆོས་སྡིངས།,, ,Jonang,Monastery,,,,,,,,"<p>
	Changlung Choding was a Jonang monastery in central Tibet that was in operation by at least 1531, when the twenty-fifth Abbot of <a href=""/geographies/view/Jonang-Monastery/TBRC_G201"">Jonang Monastery</a>, <a href=""/biographies/view/Kunga-Pelzang/TBRC_P2MS4764"">Kunga Pelzang,</a> met the master <a href=""/biographies/view/Zhonnu-Chodrub/TBRC_P2843"">Zhonnu Chodrub</a> and received transmissions from him.</p>
",
126.0,,,Tselmin,mtshal min,མཚལ་མིན།,, ,Jonang,Monastery,,,,,,,,"<p>
	Tselmin, a Jonang monastery, was in existence by the fifteenth century when <a href=""/biographies/view/Nyakpuwa-Sonam-Zangpo/TBRC_P2460"">Nyakpuwa Sonam Zangpo</a>&nbsp;retired there.</p>
",
132.0,G282,,Kodrak Hermitage,ko brag ri khrod,ཀོ་བྲག་རི་ཁྲོད།,,"Nyangto Kodrak, myang stod ko brag , ",Marpa Kagyu,Monastery,,,,,,,,"<p>
	Kodrak is a hermitage in Upper Nyang (Nyangto in the Tibetan Autonomous Region) that was established in the thirteenth century by <a href=""/biographies/view/Kodrakpa-Sonam-Gyeltsen/TBRC_p1514"">Kodrakpa Sonam Gyeltsen</a>.</p>
",
146.0,,,Uri Monastery,dbu ri dgon,དབུ་རི་དགོན།,, ,Sakya,Monastery,,,,,,,,"<p>
	Uri Monastery was a Drukpa Kagyu monastery founded in 1234 in southern Tibet by <a href=""/biographies/view/Lorepa-Wangchuk-Tsondru/TBRC_p4252"">Lorepa Wangchuk Tsondru</a>.</p>
",
149.0,,,Gotsang Hermitage,rgod tshang chos sde,རྒོད་ཚང་ཆོས་སྡེ།,, ,Drukpa Kagyu,Monastery,,,,,,,,"<p>
	<a href=""/biographies/view/Gotsang-Repa/TBRC_P2090"">Gotsang Repa</a> meditated here during the thirteenth century in a cave near the Nepalese border.</p>
",
154.0,G1AG90,,Kharak,kha rag,ཁ་རག།,, ,Tselpa Kagyu,Monastery,1181.0,,,,,,,"<p>
	Kharak was a hermitage established by <a href=""/biographies/view/Kharakpa-Dulwa-O/TBRC_p2202"">Kharakpa Dulwa O</a> in either 1181 or 1193.</p>
",
185.0,G238,,Wensa Monastery,dben sa dgon,དབེན་ས་དགོན།,温萨寺,Ensa; Wen; Uding; Lower Wesna; Wensa Monastery ,Geluk,Monastery,,,,15th,,29.28333,89.21667,"<p>
	Wensa Monastery, founded in the fifteenth century by <a href=""/biographies/view/Second-Paṇchen-Lama,-Sonam-Chokyi-Langpo/TBRC_P4211"">Sonam Chokyi Langpo</a>,&nbsp;is an important Geluk hermitage in the Tsang region. It is noted as the source of the <em>Wensa Nyengyu</em> teachings of the <a href=""/incarnation/view/Paṇchen-Lama/TBRC_R10MS14279"">Paṇchen Lama</a> incarnation lineage.</p>
",
186.0,,,Chokhor Uding,chos 'khor dbus sdings,ཆོས་འཁོར་དབུས་སྡིངས།,, ,Geluk,Monastery,,,,,,,,"<p>
	Chokhor Uding was in existence by around 1514 when the Third Panchen, Wensapa <a href=""/biographies/view/Lobzang-Dondrub/TBRC_P997"">Lobzang Dondrub</a>, was ordained as a novice monk there.</p>
",
187.0,,,Lharitse,lha ri rtse,ལྷ་རི་རྩེ།,, ,"Geluk, Kadam",Monastery,,,,,,,,"<p>
	Lharitse appears to have been a small temple in Tsang, possibly Geluk or Kadam. A lama from the monastery, <a href=""/biographies/view/Drakpa-Dondrub/TBRC_P1775"">Drakpa Dondrub</a>, participated in the ordination of the <a href=""/biographies/view/Third-Paṇchen-Lama,-Wensapa-Lobzang-Dondrub/TBRC_P997"">Third Paṇchen Lama, Wensapa Lobzang Dondrub</a>.</p>
",
188.0,G1AG31,,Garmo Chodzong,mgar mo chos rdzong,མགར་མོ་ཆོས་རྫོང།,, ,Geluk,Hermitage,,,,,,,,"<p>
	Garmo Chodzong is a hermitage to the west of Shigatse, near <a href=""/geographies/view/Wensa/TBRC_G238"">Wensa</a>. It was at this hermitage that <span class=""biog-name-large"">the Third Paṇchen Lama, <a href=""/biographies/view/Wensapa-Lobzang-Dondrub/TBRC_P997"">Wensapa Lobzang Dondrub</a>&nbsp;</span> received the full transmission of the Lamrim and the Ganden Oral tradition from <a href=""/biographies/view/Chokyi-Dorje/TBRC_P994"">Chokyi Dorje</a>.</p>
<p>
	&nbsp;</p>
",
189.0,,,Lekdrub Dratsang,legs grub grwa tshang,ལེགས་གྲུབ་གྲྭ་ཚང་།,, ,Geluk,Monastery,,,,,,,,"<p>
	Lekdrub Dratsang was a Geluk educational community in Nyangto. It was in existence by the early sixteenth century when <a href=""/biographies/view/Sanggye-Yeshe/TBRC_P97"">Sanggye Yeshe</a> studied there under <a href=""/biographies/view/amyang-Gendun-Lobzang/TBRC_P100"">Jamyang Gendun Lobzang</a>.</p>
",
193.0,,,Samdrub Ling,bsam 'grub gling,བསམ་འགྲུབ་གླིང།,,", bsam grub ling , ",Nyingma,Monastery,,,,,,,,"<p>
	Samdrub Ling, a Nyingma monastery, was in existence by at least the early sixteenth century, <span class=""biog-name-large""><a href=""/biographies/view/Ngari-Paṇchen-Pema-Wanggyel/TBRC_P1699"">Ngari Paṇchen Pema Wanggyel</a>, when<span class=""biog-date-small""> took his ordination vows there. </span></span></p>
",
204.0,,,Darnga Hermitage,dar rnga ri khrod,དར་རྔ་རི་ཁྲོད།,, ,Jonang,"Hermitage, Monastery",,,,,,,,"<p>
	Darnga is a mountain retreat in Amdo where in the 1930s, <a href=""/biographies/view/Ngawang-Lodro-Drakpa/TBRC_P6167"">Ngawang Lodro Drakpa</a> sat in retreat under the guidance of Dzamno Dorje Kunga Ngawang.</p>
",
205.0,G4932,,Rashuk,ra shug,ར་ཤུག།,,", ra shug ri khrod , ",Jonang,Monastery,,,,,,,,"<p>
	Rashuk is a Jonang hermitage. It was in existence from at least the early twentieth century when <a href=""/biographies/view/Ngawang-Tsoknyi-Gyatso/TBRC_P7843"">Ngawang Tsoknyi Gyatso</a> stayed at Rashuk, a mountain hermitage, for a considerable period of time.</p>
",
217.0,,,Dakpo Draka,dwags po drag kha,དྭགས་པོ་དྲག་ཁ།,, ,Kadam,Monastery,,,,,,,,"<p>
	Dakpo Draka, a monastery in U-tsang, was in existence by mid-twelveth century when the <a href=""/biographies/view/First-Karmapa,-Dusum-Khyenpa/TBRC_P1400"">First Karmapa, Dusum Khyenpa</a>, received teachings here from Gomtsul and <a href=""/biographies/view/Sharawa-Yonten-Drak/TBRC_P1405"">Sharawa Yonten Drak</a>.</p>
",
226.0,G2CN11076,,Puchung,phu chung,ཕུ་ཆུང།,, ,Kadam,Monastery,,,,,,,,"<p>
	Puchung, a Kadam monastery in Penyul near <a href=""/geographies/view/Poto-Monastery/TBRC_G4595"">Poto Monastery</a>, was built by <a href=""/biographies/view/Puchungwa-Zhonnnu-Gyeltsen/TBRC_p405"">Puchungwa Zhonnnu Gyeltsen</a> in the twefth century.&nbsp;</p>
",
227.0,,,Gyachak Ri,rgya lcags ri,རྒྱ་ལྕགས་རི།,,Penyul Gyachak Ri ,Marpa Kagyu,Monastery,,,,,,,,"<p>
	Gyachak Ri monastery in Penyul (Penpo in central Tibet) seems to have existed from at least 1104. In 1104, <a href=""/biographies/view/Gampopa-Sonam-Rinchen/TBRC_P1844"">Gampopa Sonam Rinchen</a> was ordained either here in Penyul at Gyachak Ri or in Dakpo.</p>
",
231.0,,,Dechen Teng,bde chen steng,བདེ་ཆེན་སྟེང།,,Dechenteng ,Karma Kagyu,Monastery,,,,,,,,"<p>
	Dechen Teng is a hermitage or a monastery built by the <a href=""/biographies/view/Third-Karmapa,-Rangjung-Dorje/TBRC_P66"">Third Karmapa, Rangjung Dorje</a><span class=""biog-date-small""> </span>in the early fourteenth century.&nbsp;</p>
",
232.0,G00JR3353,,Hemis,he mi dgon,ཧེ་མི་དགོན།,,"Hemis Jangchub Choling, he mi byang chub chos gling; he mi grwa tshang, ",Drukpa Kagyu,Monastery,,,,,,33.912676,77.702969,"<p>
	Hemis Monastery is a Drukpa Kagyu monaster in Ladakh. It was founded in the eleventh century and restored in 1630s by <a href=""/biographies/view/Taktsang-Repa-Ngawang-Gyatso/TBRC_P7857"">Taktsang Repa Ngawang Gyatso</a>, a key figure in the religious tradition of Ladakh,&nbsp;under the patronage of King Sengge Namgyel.&nbsp;</p>
",Q4497698
233.0,G1PD127458,,Hanle,waM le,ཝཾ་ལེ།,, ,Drukpa Kagyu,Monastery,,,,,,32.790873,79.002056,"<p>
	Hanle was the first of the Drukpa Kagyu monasteries that <a href=""/biographies/view/Taktsang-Repa-Ngawang-Gyatso/TBRC_P7857"">Taktsang Repa Ngawang Gyatso</a> founded in Ladakh with the patronage of King Sengge Namgyel in the seventeenth century.</p>
",Q5648583
234.0,G1BL6,,Chemrey,lce bde theg mchog dgon,ལྕེ་བདེ་ཐེག་མཆོག་དགོན།,,"Chemre; Chemdey; Chemdey, ",Drukpa Kagyu,Monastery,1640.0,True,,,,33.95905,77.78915,"<p>
	Chemrey is a Drukpa Kagyu monastery located outside of Leh in Ladakh. It was built by <a href=""/biographies/view/Taktsang-Repa-Ngawang-Gyatso/TBRC_P7857"">Taktsang Repa Ngawang Gyatso</a> as a memorial following King Sengge Namgyel&#39;s death. Construction began in March 1644 and was completed in 1645 or 1646.</p>
",Q4516011
235.0,,,Chukyer Gonsar,chu mkhyer dgon gsar,ཆུ་མཁྱེར་དགོན་གསར།,,Chukyer ,Nyingma,Monastery,,,,,,,,"<p>
	Chukyer Gonsar is a monastery near Mt. Kulakhari in Lhodrak, southern Tibet. It was the seat of <a href=""/biographies/view/Dorje-Lingpa/TBRC_P6164"">Dorje Lingpa</a>.</p>
",
259.0,G3774,,Sinmo Dzong,srin mo rdzong,སྲིན་མོ་རྫོང།,,"Kham Sinmo Dzong, khams srin mo rdzong , ",Nyingma,Monastery,,,,,,,,"<p>
	Sinmo Dzong is a hermitage in Naksho, Kham. It was the seat of <a href=""/biographies/view/Nyima-Drakpa/TBRC_P425"">Nyima Drakpa</a>&nbsp;who engaged in retreat there between&nbsp;1671 and 1674.</p>
",
263.0,,,Khyungpak Tsang,khyung 'phags tshangs,ཁྱུང་འཕགས་ཚངས།,, ,Bon,Monastery,,,,,,,,"<p>
	Khyungpak Tsang was a Bon monastery that was in existence by the thirteenth century, when <a href=""/biographies/view/Donggom-Zhikpo/TBRC_P11MS163"">Donggom Zhikpo</a>, the fifth lineage holder of the <em>Nyengyu Rigpa Chertong</em> tradition of Bon Dzogchen, studied there. It was at Khyungpak Tsang that Donggom received ordi&shy;nation from Khyungpak Gyelbu Lama (khyung &#39;phags rgyal bu bla ma).</p>
",
265.0,,,Zhertsa Chode,zher rtsa chos sde,ཞེར་རྩ་ཆོས་སྡེ།,, ,Geluk,Monastery,,,,,,,,"<p>
	Zhertsa Chode was in exsitence by at least the sixteenth century when&nbsp;<span style=""font-size:12px;""><span style=""font-family: arial,helvetica,sans-serif;""><span style=""color: rgb(51, 51, 51); line-height: 19.6px;""><a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a> served as abbot there.&nbsp;</span></span></span></p>
",
267.0,,,Potima,po ti ma,པོ་ཏི་མ།,, ,Geluk,Monastery,1536.0,,,,,,,"<p>
	Potima, a small Geluk community in Kham, was established in 1536 by <a href=""/biographies/view/Jedrung-Sherab-Wangpo/TBRC_P5569"">Jedrung Sherab Wangpo</a>.</p>
",
272.0,,,Sakya Drakshar,sa skya brag shar,ས་སྐྱ་བྲག་ཤར།,, ,Sakya,Monastery,,,,,,,,"<p>
	Sakya Drakshar monastery was in existence by at least the 1430s when the Fourth Ngor Khenchen, <a href=""/biographies/view/Kunga-Wangchuk/TBRC_P1040"">Kunga Wangchuk</a>, took novice vows here.</p>
",
273.0,G3JT12631,,Shey,shel dkar pho brang,ཤེལ་དཀར་ཕོ་བྲང་།,,", la dwags shel mkhar pho brang; la dwags shel thub chen dgon , ",Drukpa Kagyu,Monastery,,,,,,34.07167,77.63281,"<p>
	The Shey Palace and Monastery is an ancient royal residence of the Namgyel dynasty which reigned over Ladakh from the fifteenth to the nineteenth centuries. The heart of the whole Shey complex is formed by the main temple, the Tsuklakhang, built in the late 1640s under King Sengge Namgyel. Shey is located just outside of Leh city on a crest overlooking the Indus Valley.</p>
",Q4521832
279.0,,,Demola Monastery,bde mo la dgon,བདེ་མོ་ལ་དགོན།,, ,Geluk,Monastery,,,,,,,,"<p>
	Demola Monastery, a Geluk institution in Kongpo, was founded in the fifteenth century by the <a href=""/biographies/view/First-Pakpa-Lha,-Pakpa-Dechen-Dorje/TBRC_P427"">First Pakpa Lha, Pakpa Dechen Dorje</a>.</p>
",
294.0,G156,,Purbuchok,phur bu lcog,ཕུར་བུ་ལྕོག།,,"Purchok; Purbuchog Ritro Jangchubling; Phurbuchok; pubujue si; pujue si, phur bu lcog ri khrod; byang chub gling; phur bu lcog ri khrod byang chub gling, 普布觉寺; 普觉寺 ","Geluk, Tselpa Kagyu",Monastery,,,,,,29.71033,91.14913,"<p>
	Purbuchok&nbsp;is one of the largest hermitages above <a href=""/geographies/view/Sera-Monastery/TBRC_g154"">Sera Monastery</a>. Said to be built on the site of a <a href=""/biographies/view/Padmasambhava/TBRC_p4956"">Padmasambhava</a> meditation cave, it was first developed by the Tselpa Kagyu founder <a href=""/biographies/view/Lama-Zhang-Yudrakpa/TBRC_p1857"">Lama Zhang Yudrakpa</a> in the twelfth century, and converted to the Geluk tradition by the <a href=""/biographies/view/First-Purchok,-Ngawang-Jampa/TBRC_p108"">First Purchok, Ngawang Jampa</a> in the eighteenth century.</p>
",
295.0,G223,,Ngulchu Hermitage,dngul chu ri khrod,དངུལ་ཆུ་རི་ཁྲོད།,欧曲寺,"Ngulchu Chodzong; ouqu si, dngul chu ri khrod; dngul chu chos rdzong , ","Geluk, Kadam",Monastery,,,,,14th,29.4,88.23333,"<p>
	Ngulchu is a Geluk hermitage -- orginally a Kadam hermitage -- in western Tsang. <a href=""/biographies/view/Gyelse-Tokme-Zangpo/TBRC_p1830"">Gyelse Tokme Zangpo</a> resided there in retreat for twenty years in the mid-fourteenth century.</p>
",
297.0,,,Sang Ngak Tekchen Choling,gsang sngags theg chen chos gling,གསང་སྣགས་ཐེག་ཆེན་ཆོས་གླིང།,, ,Bon,Monastery,,,,,,27.517797,88.96393,"<p>
	Sang Ngak Tekchen Choling is a Bon monastery in southern Tibet that was founded by Lama Jowo Yungdrung Kyi.&nbsp;</p>
",
306.0,G2440,,Nyetang Longdol Hermitage,mnyes thang klong rdol ri khrod,མཉེས་ཐང་ཀློང་རྡོལ་རི་ཁྲོད།,, ,"Drukpa Kagyu, Geluk","Cave, Monastery",,,,,,,,"<p>
	Nyetang Longdol Hermitage in Nyetang that was originally established by <a href=""/biographies/view/Tsangpa-Gyare/TBRC_p909"">Tsangpa Gyare</a> in the twelfth century. It was converted to the Geluk tradition from Drukpa Kagyu around the eighteenth century when <a href=""/biographies/view/Longdol-Ngawang-Lobzang/TBRC_p22"">Longdol Ngawang Lobzang</a> resided there for an extensive period of time.</p>
",
307.0,G4711,,Cheri Monastery,lcags ri,ལྕགས་རི།,,Chakri; Chagri; Chakri Dorjeden ,Drukpa Kagyu,Monastery,1619.0,,,,,27.595647,89.626837,"<p>
	Cheri Monastery, also known as Chakri Dorjeden, is a hermitage and monastery in the Upper Thimphu valley in Bhutan. It was built in 1619 by <a href=""/biographies/view/Zhabdrung-Ngawang-Namgyel/TBRC_P509"">Zhabdrung Ngawang Namgyel</a> as his first monastery in Bhutan, where he established the first monastic body.</p>
",
309.0,G00JR2680,,Bangri Jokpo,bang ri 'jog po,བང་རི་འཇོག་པོ།,, ,Nyingma,Monastery,,,,,,,,"<p>
	Bangri Jokpo was a Nyingma monastic community in Kongpo established in the early seventeenth century by <a href=""/biographies/view/Jatson-Nyingpo/TBRC_P882"">Jatson Nyingpo</a>.</p>
",
314.0,G402,,Khardo Hermitage,mkhar rdo ri khrod,མཁར་རྡོ་རི་ཁྲོད།,卡多寺,"kaduo si, 卡多寺 ",Geluk,Monastery,1706.0,,,,,29.70326,91.14464,"<p>
	Khardo, one of the hermitages above Sera Monastery, was founded in 1706 by the <a href=""/biographies/view/First-Khardo,-Zopa-Gyatso/TBRC_P38"">First Khardo, Zopa Gyatso</a>. It&#39;s one of the ten hermitages belonging to <a href=""/geographies/view/Sera-Je-College/TBRC_G155"">Sera Je College</a>.</p>
",
315.0,G77,,Ganden Jangtse College,dga' ldan byang rtse drwa tshang,དགའ་ལྡན་བྱང་རྩེ་དྲྭ་ཚང་།,,Jangtse Dratsang ,Geluk,Monastic College,,,,,,29.75786,91.47462,"<p>
	Ganden Jangtse is one of the two teaching colleges of <a href=""/geographies/view/Ganden-Monaster/TBRC_G337"">Ganden Monaster</a>y in central Tibet. It was founded by <a href=""/biographies/view/Namkha-Pelzangpo/TBRC_P3495"">Namkha Pelzangpo</a>, a disciple of <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a>.&nbsp;&nbsp;</p>
",
319.0,G304,,Ganden Shartse College,dga' ldan shar rtse grwa tshang,དགའ་ལྡན་ཤར་རྩེ་གྲྭ་ཚང་།,,Shartse Dratsang ,Geluk,Monastic College,,,,,,29.75878,91.4767,"<p>
	Ganden Shartse is one of the two teaching colleges of <a href=""/geographies/view/Ganden-Monastery/TBRC_G337"">Ganden Monastery</a>. There are eleven residential houses in the college.</p>
",
321.0,G2510,,Rakadrak Hermitage,ra kha brag ri khrod,ར་ཁ་བྲག་རི་ཁྲོད།,,"Rakadrak Ritro; rekazha si, se ra byes kyi rag kha brag ri khrod, 热喀扎寺 ",Geluk,Monastery,,,,,,29.70283,91.14822,"<p>
	Rakhadrak is a hermitage above <a href=""/geographies/view/Sera-Monastery/TBRC_g154"">Sera Monastery</a>. It was established in the seventeenth century either by <a href=""/biographies/view/Drubkhang-Gelek-Gyatso/TBRC_p1005"">Drubkhang Gelek Gyatso</a> or Rakhadrak Azhu Sonam. It is renowned for being the site where <a href=""/biographies/view/Tsongkhapa/TBRC_p64"">Tsongkhapa</a> composed <i>The Essence of Eloquence that Distinguishes Between the Provisional and Definitive Meaning of the Scriptures</i><span style=""font-style: normal"">, and where he received a delegation from China requesting his presence at the Imperial court. </span></p>
",
322.0,,,Sera Utse,se ra dbu rtse,སེ་ར་དབུ་རྩེ།,,"Drubkhang Hermitage; Sera Utse Ritro; Sera Tse; Sera Peak, se ra dbu rtse ri khrod , ",Geluk,Monastery,1705.0,,,,,29.705515,91.13873,"<p>
	Sera Utse, also known as Drubkhang hermitage, is a hermitage located to the north above <a href=""/geographies/view/Sera/TBRC_G154"">Sera Monastery</a>, a major Geluk monastery in central Tibet. It was founded in 1705 by <a href=""/biographies/view/Drubkhang-Gelek-Gyatso-/TBRC_P1005"">Drubkhang Gelek Gyatso</a> in a location where <a href=""/biographies/view/Tsongkhapa/TBRC_P64"">Tsongkhapa</a> is said to have engaged in retreat.</p>
",
338.0,,,Tetung Monastery,te thung dgon chen,ཏེ་ཐུང་དགོན་ཆེན།,,Tethung Gonchen ,"Geluk, Marpa Kagyu, Sakya",Monastery,1619.0,,,,,,,"<p>
	Tetung was established as a Geluk monastery in 1619 on the site of former Kagyu and Sakya institutions. It was one of the two most influential monasteries in the northern part of Amdo located within the Pari region of Gansu province. The First Tukwan, <a href=""/biographies/view/Lobzang-Rabten/TBRC_P3548"">Lobzang Rabten</a>, served as abbot of Tetung Monastery.</p>
",
342.0,G109,,Drepung Gomang Dratsang,sgo mang grwa tshang,སྒོ་མང་གྲྭ་ཚང་།,,Gomang Dratsang; Drepung Gomang College ,Geluk,Monastery,,,,,,29.676708,91.048383,"<p>
	Gomang, the earliest of <a href=""/geographies/view/Drepung-Monastery/TBRC_g108"">Drepung Monastery</a>&#39;s colleges, was established in the early fifteenth century by <a href=""/biographies/view/Drakpa-Rinchen/TBRC_P8LS12001"">Drakpa Rinchen</a>, a disciple of Drepung founder <a href=""/biographies/view/Jamyang-Choje-Tashi-Pelden/TBRC_P35"">Jamyang Choje Tashi Pelden</a>. It quickly grew into one of the largest colleges, ultimately absorbing the Vinaya college.</p>
<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
",
344.0,G107,,Tashilhunpo Shartse Dratsang,bkra shis lhun po shar rtse grwa tshang,བཀྲ་ཤིས་ལྷུན་པོ་ཤར་རྩེ་གྲྭ་ཚང་།,, ,Geluk,Monastic College,,,,,,29.25,88.85,"<p>
	Tashilhunpo Shartse Dratsang, a monastic college of <a href=""/geographies/view/Tashilhunpo/TBRC_G104"">Tashilhunpo</a>, teaches general subjects.&nbsp;</p>
",
346.0,,G165,Pari Tashi Choling,dpa' ri bkra shis chos gling,དཔའ་རི་བཀྲ་ཤིས་ཆོས་གླིང།,⽺官寺,"dpa' ris stong shag bkra shis chos gling, ","Geluk, Sakya",Monastery,,,,17th,,36.57999,102.48028,"<p>
	Pari Tashi Choling, founded in the 17th century in Amdo in the place of an earlier Kagyu monastery, is located in Drotsang County.&nbsp;<a href=""/biographies/view/Sumpa-Khenpo-Yeshe-Peljor/TBRC_p339"">Sumpa Khenpo Yeshe Peljor</a> gave teachings there. It is a branch of <a href=""/geographies/view/Gonlung/TBRC_G165"">Gonlung</a>.</p>
",
